City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Butaritari,KI,2022-02-01 20:22:12,3.0707,172.7902,81.5,75,73,10.94,broken clouds
61,Kaitangata,NZ,2022-02-01 20:22:37,-46.2817,169.8464,61.41,91,100,3.65,light rain
62,Galesong,ID,2022-02-01 20:22:37,-5.3166,119.3661,75.22,83,100,4.0,overcast clouds
63,Provideniya,RU,2022-02-01 20:22:37,64.3833,-173.3,9.01,65,5,24.05,clear sky
64,Price,US,2022-02-01 20:22:38,39.5994,-110.8107,35.11,31,0,12.66,clear sky
65,Odweyne,SO,2022-02-01 20:22:38,9.4092,45.064,66.29,66,100,11.03,overcast clouds
66,Batemans Bay,AU,2022-02-01 20:19:22,-35.7167,150.1833,73.2,94,100,5.93,light rain
67,Esperance,AU,2022-02-01 20:20:44,-33.8667,121.9,61.5,67,52,16.24,broken clouds
68,Surt,LY,2022-02-01 20:22:38,31.2089,16.5887,56.86,54,59,25.39,broken clouds
69,Hami,CN,2022-02-01 20:22:39,42.8,93.45,22.3,33,80,1.7,broken clouds
70,Geraldton,AU,2022-02-01 20:22:39,-28.7667,114.6,84.61,26,11,21.85,few clouds
71,Puerto Ayora,EC,2022-02-01 20:22:39,-0.7393,-90.3518,82.36,91,81,4.0,broken clouds
72,Xinzhou,CN,2022-02-01 20:22:40,38.4092,112.7333,22.87,37,0,1.32,clear sky
73,Atuona,PF,2022-02-01 20:22:22,-9.8,-139.0333,78.57,73,24,22.53,few clouds
74,Bud,US,2022-02-01 20:22:40,39.447,-86.1758,62.55,66,100,11.88,overcast clouds
75,Gaoual,GN,2022-02-01 20:22:40,11.75,-13.2,85.57,13,6,4.47,clear sky
76,Mar Del Plata,AR,2022-02-01 20:22:41,-38.0023,-57.5575,84.22,34,0,23.02,clear sky
77,Xinyang,CN,2022-02-01 20:19:38,32.1228,114.0656,35.62,59,100,5.53,overcast clouds
78,Qaanaaq,GL,2022-02-01 20:22:41,77.484,-69.3632,-17.64,75,100,11.14,overcast clouds
79,Castro,BR,2022-02-01 20:18:44,-24.7911,-50.0119,78.55,60,4,4.79,clear sky
80,Xinglongshan,CN,2022-02-01 20:22:42,43.9561,125.4661,4.75,66,0,8.95,clear sky
81,Cape Town,ZA,2022-02-01 20:22:01,-33.9258,18.4232,69.1,81,20,1.01,few clouds
82,Lompoc,US,2022-02-01 20:22:42,34.6391,-120.4579,66.85,31,0,14.97,clear sky
83,Georgetown,MY,2022-02-01 20:21:42,5.4112,100.3354,82.33,86,20,3.44,few clouds
84,Khatanga,RU,2022-02-01 20:19:41,71.9667,102.5,-35.86,99,21,3.15,few clouds
85,Ola,RU,2022-02-01 20:18:44,59.5833,151.2833,-0.9,83,71,10.74,broken clouds
86,Albanel,CA,2022-02-01 20:22:43,48.8832,-72.4487,6.94,66,100,2.3,overcast clouds
87,Fairbanks,US,2022-02-01 20:22:43,64.8378,-147.7164,-10.01,74,0,0.0,clear sky
88,Myitkyina,MM,2022-02-01 20:22:43,25.3833,97.4,51.48,99,36,3.13,scattered clouds
89,Adrar,MR,2022-02-01 20:22:43,20.5022,-10.0711,76.68,14,97,11.34,overcast clouds
90,Gat,IL,2022-02-01 20:22:44,31.61,34.7642,52.39,68,0,5.12,clear sky
91,Teabo,MX,2022-02-01 20:23:44,20.4,-89.2833,87.73,37,1,7.72,clear sky
92,Chokurdakh,RU,2022-02-01 20:23:44,70.6333,147.9167,-22.38,99,100,2.33,overcast clouds
93,Tasiilaq,GL,2022-02-01 20:23:45,65.6145,-37.6368,10.56,70,100,5.82,overcast clouds
94,Mason City,US,2022-02-01 20:23:45,43.1536,-93.201,21.29,69,40,26.46,haze
95,Sorong,ID,2022-02-01 20:23:45,-0.8833,131.25,79.56,75,100,5.26,overcast clouds
96,Ponta Do Sol,PT,2022-02-01 20:23:00,32.6667,-17.1,65.03,72,22,11.25,few clouds
97,Sur,OM,2022-02-01 20:23:46,22.5667,59.5289,72.9,70,5,3.53,clear sky
98,Leningradskiy,RU,2022-02-01 20:23:46,69.3833,178.4167,-11.51,94,44,11.45,scattered clouds
99,Cabo San Lucas,MX,2022-02-01 20:21:21,22.8909,-109.9124,76.6,58,0,5.01,clear sky
100,Vaini,TO,2022-02-01 20:23:46,-21.2,-175.2,82.56,78,75,4.61,broken clouds
101,Kapaa,US,2022-02-01 20:23:47,22.0752,-159.319,76.98,71,40,1.01,scattered clouds
102,Iqaluit,CA,2022-02-01 20:21:51,63.7506,-68.5145,-14.31,75,100,5.99,light snow
103,Airai,TL,2022-02-01 20:23:47,-8.9266,125.4092,59.4,83,89,3.2,overcast clouds
104,Aasiaat,GL,2022-02-01 20:23:47,68.7098,-52.8699,1.67,97,100,6.44,overcast clouds
105,Nikolskoye,RU,2022-02-01 20:23:36,59.7035,30.7861,24.69,98,100,2.71,light snow
106,Pisco,PE,2022-02-01 20:23:48,-13.7,-76.2167,78.85,57,0,17.27,clear sky
107,Erenhot,CN,2022-02-01 20:23:48,43.6475,111.9767,-0.36,88,3,5.21,clear sky
108,Auki,SB,2022-02-01 20:23:48,-8.7676,160.7034,79.29,87,96,6.02,overcast clouds
109,Ribeira Grande,PT,2022-02-01 20:23:49,38.5167,-28.7,61.2,77,20,19.57,few clouds
110,Missoula,US,2022-02-01 20:22:58,47.0166,-113.8009,20.53,86,100,4.23,light snow
111,Klyavlino,RU,2022-02-01 20:23:49,54.2649,52.0267,27.28,94,100,14.58,light snow
112,Kutum,SD,2022-02-01 20:22:01,14.2,24.6667,59.92,21,5,6.64,clear sky
113,Paamiut,GL,2022-02-01 20:23:50,61.994,-49.6678,15.37,76,100,13.89,light snow
114,Ballina,AU,2022-02-01 20:23:50,-28.8667,153.5667,77.18,92,100,4.61,overcast clouds
115,Saint-Philippe,RE,2022-02-01 20:23:09,-21.3585,55.7679,80.15,91,95,21.52,moderate rain
116,Hermanus,ZA,2022-02-01 20:23:50,-34.4187,19.2345,70.9,84,26,1.05,scattered clouds
117,Comodoro Rivadavia,AR,2022-02-01 20:23:51,-45.8667,-67.5,87.66,11,0,24.16,clear sky
118,East London,ZA,2022-02-01 20:21:59,-33.0153,27.9116,76.1,89,100,6.4,overcast clouds
119,Yaqui,MX,2022-02-01 20:23:51,27.3667,-110.1667,73.96,20,26,9.04,scattered clouds
120,Barrow,US,2022-02-01 20:23:51,71.2906,-156.7887,-16.58,69,0,8.05,clear sky
121,Souillac,MU,2022-02-01 20:23:52,-20.5167,57.5167,79.18,94,75,19.57,light intensity shower rain
122,Salalah,OM,2022-02-01 20:20:25,17.0151,54.0924,69.89,60,0,5.75,clear sky
123,Baherden,TM,2022-02-01 20:23:52,38.4362,57.4316,48.7,42,100,5.93,overcast clouds
